英文名,中文名,简称,外网价格,buff最低价格,最新价格,buff在售数量,饰品类型,比率
StatTrak™ Sawed-Off | Serenity (Battle-Scarred),截短霰弹枪（StatTrak™） | 祥和之翼 (战痕累累),截短霰弹枪（StatTrak™） | 祥和之翼,2.63,12.94,12.84,5.0,Shotgun,4.920152091254753
★ Butterfly Knife | Ultraviolet (Factory New),蝴蝶刀（★） | 致命紫罗兰 (崭新出厂),蝴蝶刀（★） | 致命紫罗兰,3150.0,15498.5,14891.48,15.0,Knife,4.92015873015873
★ StatTrak™ Karambit | Freehand (Factory New),爪子刀（★ StatTrak™） | 自由之手 (崭新出厂),爪子刀（★ StatTrak™） | 自由之手,1015.93,4999.0,4998.5,11.0,Knife,4.920614609274261
★ Bayonet | Stained (Field-Tested),刺刀（★） | 人工染色 (久经沙场),刺刀（★） | 人工染色,365.8,1800.0,1799.5,39.0,Knife,4.920721705850191
★ StatTrak™ Butterfly Knife | Scorched (Well-Worn),蝴蝶刀（★ StatTrak™） | 枯焦之色 (破损不堪),蝴蝶刀（★ StatTrak™） | 枯焦之色,762.08,3750.0,3749.5,4.0,Knife,4.920743229057317
StatTrak™ M249 | Aztec (Factory New),M249（StatTrak™） | 阿兹特克 (崭新出厂),M249（StatTrak™） | 阿兹特克,4.18,20.57,20.47,57.0,Machinegun,4.921052631578948
★ StatTrak™ Navaja Knife | Crimson Web (Minimal Wear),折刀（★ StatTrak™） | 深红之网 (略有磨损),折刀（★ StatTrak™） | 深红之网,211.31,1039.9,1039.4,2.0,Knife,4.921205811367186
★ StatTrak™ M9 Bayonet | Damascus Steel (Well-Worn),M9 刺刀（★ StatTrak™） | 大马士革钢 (破损不堪),M9 刺刀（★ StatTrak™） | 大马士革钢,666.48,3280.0,3133.13,2.0,Knife,4.921377985836034
★ StatTrak™ Falchion Knife | Black Laminate (Minimal Wear),弯刀（★ StatTrak™） | 黑色层压板 (略有磨损),弯刀（★ StatTrak™） | 黑色层压板,156.05,768.0,767.5,8.0,Knife,4.921499519384812
★ Skeleton Knife | Blue Steel (Battle-Scarred),骷髅匕首（★） | 蓝钢 (战痕累累),骷髅匕首（★） | 蓝钢,554.46,2728.99,2728.49,42.0,Knife,4.92188796306316
StatTrak™ M4A1-S | Nightmare (Battle-Scarred),M4A1 消音型（StatTrak™） | 梦魇 (战痕累累),M4A1 消音型（StatTrak™） | 梦魇,17.04,83.87,83.77,30.0,Rifle,4.921948356807512
★ Ursus Knife | Forest DDPAT (Well-Worn),熊刀（★） | 森林 DDPAT (破损不堪),熊刀（★） | 森林 DDPAT,151.36,745.0,744.5,11.0,Knife,4.922040169133192
StatTrak™ MAG-7 | Praetorian (Well-Worn),MAG-7（StatTrak™） | 禁卫军 (破损不堪),MAG-7（StatTrak™） | 禁卫军,3.86,19.0,18.9,6.0,Shotgun,4.922279792746114
★ Bowie Knife | Crimson Web (Battle-Scarred),鲍伊猎刀（★） | 深红之网 (战痕累累),鲍伊猎刀（★） | 深红之网,172.67,850.0,849.5,15.0,Knife,4.922684890253084
MAC-10 | Heat (Minimal Wear),MAC-10 | 炽热 (略有磨损),MAC-10 | 炽热,4.02,19.79,19.69,73.0,SMG,4.922885572139304
★ Talon Knife | Scorched (Well-Worn),锯齿爪刀（★） | 枯焦之色 (破损不堪),锯齿爪刀（★） | 枯焦之色,337.18,1660.0,1659.5,15.0,Knife,4.923186428613796
★ Falchion Knife | Crimson Web (Well-Worn),弯刀（★） | 深红之网 (破损不堪),弯刀（★） | 深红之网,190.72,939.0,938.5,7.0,Knife,4.923447986577181
AK-47 | Neon Revolution (Well-Worn),AK-47 | 霓虹革命 (破损不堪),AK-47 | 霓虹革命,27.01,132.99,132.49,19.0,Rifle,4.923731951129211
★ StatTrak™ Bayonet | Ultraviolet (Well-Worn),刺刀（★ StatTrak™） | 致命紫罗兰 (破损不堪),刺刀（★ StatTrak™） | 致命紫罗兰,324.75,1599.0,1598.5,3.0,Knife,4.923787528868361
★ Gut Knife | Crimson Web (Well-Worn),穿肠刀（★） | 深红之网 (破损不堪),穿肠刀（★） | 深红之网,132.01,650.0,649.5,1.0,Knife,4.923869403833043
★ Paracord Knife | Stained (Minimal Wear),系绳匕首（★） | 人工染色 (略有磨损),系绳匕首（★） | 人工染色,229.28,1129.0,1128.5,33.0,Knife,4.9241102581995815
USP-S | Pathfinder (Field-Tested),USP 消音版 | 寻路者 (久经沙场),USP 消音版 | 寻路者,16.36,80.56,80.46,16.0,Pistol,4.924205378973105
★ Falchion Knife | Boreal Forest (Minimal Wear),弯刀（★） | 北方森林 (略有磨损),弯刀（★） | 北方森林,140.0,689.4,688.9,19.0,Knife,4.924285714285714
Glock-18 | Snack Attack (Well-Worn),格洛克 18 型 | 零食派对 (破损不堪),格洛克 18 型 | 零食派对,3.97,19.55,19.45,68.0,Pistol,4.924433249370277
★ StatTrak™ Bayonet | Boreal Forest (Well-Worn),刺刀（★ StatTrak™） | 北方森林 (破损不堪),刺刀（★ StatTrak™） | 北方森林,280.84,1383.0,1382.5,2.0,Knife,4.924512177752457
AK-47 | Panthera onca (Well-Worn),AK-47 | 美洲豹 (破损不堪),AK-47 | 美洲豹,162.34,799.48,798.98,21.0,Rifle,4.924725883947271
★ Huntsman Knife | Freehand (Well-Worn),猎杀者匕首（★） | 自由之手 (破损不堪),猎杀者匕首（★） | 自由之手,152.29,750.0,749.5,8.0,Knife,4.924814498653884
★ StatTrak™ M9 Bayonet | Night (Battle-Scarred),M9 刺刀（★ StatTrak™） | 噩梦之夜 (战痕累累),M9 刺刀（★ StatTrak™） | 噩梦之夜,578.7,2850.0,2619.5,8.0,Knife,4.924831518921721
StatTrak™ AUG | Wings (Minimal Wear),AUG（StatTrak™） | 鹰翼 (略有磨损),AUG（StatTrak™） | 鹰翼,18.63,91.75,91.65,29.0,Rifle,4.924852388620505
M4A4 | Daybreak (Factory New),M4A4 | 破晓 (崭新出厂),M4A4 | 破晓,323.86,1594.99,1594.49,207.0,Rifle,4.924936701043661
★ StatTrak™ Butterfly Knife | Rust Coat (Well-Worn),蝴蝶刀（★ StatTrak™） | 外表生锈 (破损不堪),蝴蝶刀（★ StatTrak™） | 外表生锈,946.15,4660.0,4659.5,5.0,Knife,4.925223273265338
SSG 08 | Threat Detected (Minimal Wear),SSG 08 | 侦测 (略有磨损),SSG 08 | 侦测,6.09,30.0,29.9,46.0,Sniper Rifle,4.926108374384237
USP-S | Monster Mashup (Well-Worn),USP 消音版 | 小绿怪 (破损不堪),USP 消音版 | 小绿怪,15.61,76.9,76.8,20.0,Pistol,4.926329276105061
Sawed-Off | Rust Coat (Field-Tested),截短霰弹枪 | 外表生锈 (久经沙场),截短霰弹枪 | 外表生锈,11.41,56.21,56.11,16.0,Shotgun,4.92638036809816
AUG | Bengal Tiger (Factory New),AUG | 孟加拉猛虎 (崭新出厂),AUG | 孟加拉猛虎,46.28,228.0,227.5,34.0,Rifle,4.926534140017286
P90 | Fallout Warning (Battle-Scarred),P90 | 辐射警告 (战痕累累),P90 | 辐射警告,5.18,25.52,25.42,5.0,SMG,4.926640926640927
