英文名,中文名,简称,外网价格,外网数量,buff最低价格,最新价格,buff在售数量,饰品类型,比率
AK-47 | Legion of Anubis (Factory New),AK-47 | 阿努比斯军团 (崭新出厂),AK-47 | 阿努比斯军团,32.98,1.0,153.0,152.5,1090.0,Rifle,4.639175257731959
StatTrak™ P2000 | Imperial (Factory New),P2000（StatTrak™） | 至高帝皇 (崭新出厂),P2000（StatTrak™） | 至高帝皇,1.61,7.0,7.47,7.46,231.0,Pistol,4.639751552795031
M4A4 | The Coalition (Minimal Wear),M4A4 | 合纵 (略有磨损),M4A4 | 合纵,106.68,42.0,495.0,494.5,662.0,Rifle,4.640044994375703
AK-47 | Baroque Purple (Well-Worn),AK-47 | 巴洛克之紫 (破损不堪),AK-47 | 巴洛克之紫,5.66,3.0,26.27,26.17,97.0,Rifle,4.641342756183746
M4A4 | Buzz Kill (Field-Tested),M4A4 | 喧嚣杀戮 (久经沙场),M4A4 | 喧嚣杀戮,12.19,24.0,56.58,56.48,2006.0,Rifle,4.6415094339622645
★ StatTrak™ Flip Knife,折叠刀（★ StatTrak™）,折叠刀（★ StatTrak™）,441.9,1.0,2051.29,2050.79,25.0,Knife,4.641977823036886
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear),M4A4（StatTrak™） | 杀意大名 (略有磨损),M4A4（StatTrak™） | 杀意大名,9.86,3.0,45.77,45.67,558.0,Rifle,4.641987829614605
★ Bowie Knife | Rust Coat (Battle-Scarred),鲍伊猎刀（★） | 外表生锈 (战痕累累),鲍伊猎刀（★） | 外表生锈,129.9,1.0,603.0,602.5,104.0,Knife,4.64203233256351
★ Ursus Knife | Fade (Factory New),熊刀（★） | 渐变之色 (崭新出厂),熊刀（★） | 渐变之色,796.78,2.0,3699.0,3698.5,233.0,Knife,4.642435804111549
★ M9 Bayonet | Fade (Factory New),M9 刺刀（★） | 渐变之色 (崭新出厂),M9 刺刀（★） | 渐变之色,2037.61,25.0,9460.0,9459.5,243.0,Knife,4.642694136758261
★ Gut Knife | Fade (Factory New),穿肠刀（★） | 渐变之色 (崭新出厂),穿肠刀（★） | 渐变之色,275.7,1.0,1280.0,1279.5,101.0,Knife,4.642727602466449
StatTrak™ M4A4 | Griffin (Field-Tested),M4A4（StatTrak™） | 狮鹫 (久经沙场),M4A4（StatTrak™） | 狮鹫,5.71,3.0,26.51,26.41,154.0,Rifle,4.642732049036778
★ Ursus Knife | Crimson Web (Field-Tested),熊刀（★） | 深红之网 (久经沙场),熊刀（★） | 深红之网,417.53,1.0,1938.5,1938.0,164.0,Knife,4.642780159509496
M4A4 | Evil Daimyo (Field-Tested),M4A4 | 杀意大名 (久经沙场),M4A4 | 杀意大名,2.52,14.0,11.7,11.7,2054.0,Rifle,4.642857142857142
